hit,kapital,fix,angewandt,verausgabt,nachfrag,variabl,neu,jahrlich,verlieh,konstant,preis,erhalt,umschlag,produktiv,imm,erst,kostet,klass,zweit,war
131,32,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,58,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,96,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,51,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,57,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0
136,63,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,34,0,0,0,0,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0
138,20,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
139,26,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
140,32,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
141,19,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
142,12,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0
143,9,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0
144,7,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
145,13,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
146,19,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
147,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
148,18,0,0,0,0,0,0,3,0,1,0,3,0,0,3,0,0,0,0,3
149,24,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4
150,46,0,0,0,0,0,0,2,0,3,0,2,0,0,2,0,0,0,0,2
151,78,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,1
152,126,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
153,66,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
154,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
155,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
156,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
158,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
160,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
161,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
