x,y
218788,5.4816890703380645
218789,8.38905609893065
219817,2.0
219818,2.648721270700128
219819,3.718281828459045
219820,5.4816890703380645
219821,8.38905609893065
221113,2.000000000005109
221114,2.6487212707085517
221115,3.7182818284729326
221116,5.481689070360962
221117,8.389056098968402
222840,2.0
222841,2.648721270700128
222842,3.718281828459045
222843,5.4816890703380645
222844,8.38905609893065
227706,2.0
227707,2.648721270700128
227708,3.718281828459045
227709,5.4816890703380645
227710,8.38905609893065
290514,1.6065306597130529
290515,2.0000000000006914
340741,2.0
340742,2.648721270700128
340743,3.718281828459045
340744,5.4816890703380645
340745,8.38905609893065
355878,1.6065306597126334
355879,2.0
386821,1.6065306597126334
386822,2.0
388733,2.0
388734,2.648721270700128
388735,3.718281828459045
388736,5.4816890703380645
388737,8.38905609893065
390418,2.0
390419,2.648721270700128
390420,3.718281828459045
390421,5.4816890703380645
390422,8.38905609893065
408886,2.0
408887,2.648721270700128
408888,3.718281828459045
408889,5.4816890703380645
408890,8.38905609893065
413116,2.0
413117,2.648721270700128
413118,3.718281828459045
413119,5.4816890703380645
413120,8.38905609893065
413161,1.6065306597126412
413162,2.000000000000013
416462,2.0000453999297623
416463,2.648796122530016
416464,3.7184052382631316
416465,5.481892538707076
416466,8.389391561558554
431630,2.0
431631,2.648721270700128
431632,3.718281828459045
431633,5.4816890703380645
431634,8.38905609893065
431635,9.38905609893065
431636,14.831215231403602
431637,23.803818751646713
431638,38.597141029030375
431639,62.987206132074895
431640,8.524391382167265
431841,2.0
431842,2.648721270700128
431843,3.718281828459045
431844,5.4816890703380645
431845,8.38905609893065
439565,2.0
439566,2.648721270700128
439567,3.718281828459045
439568,5.4816890703380645
439569,8.38905609893065
471756,2.0
471757,2.648721270700128
471758,3.718281828459045
471759,5.4816890703380645
471760,8.38905609893065
471761,9.38905609893065
471762,14.831215231403602
471763,23.803818751646713
471764,38.597141029030375
471765,62.987206132074895
471766,8.524391382167265
472003,2.0
472004,2.648721270700128
472005,3.718281828459045
472006,5.4816890703380645
472007,8.38905609893065
473050,2.000000831528719
473051,2.648722641659215
473052,3.7182840887884523
473053,5.481692796991237
473054,8.389062243143005
484389,1.6065306597126334
484390,2.0
485991,2.0
485992,2.648721270700128
485993,3.718281828459045
485994,5.4816890703380645
485995,8.38905609893065
487393,1.6065306597126334
487394,2.0
487963,2.0
487964,2.648721270700128
487965,3.718281828459045
487966,5.4816890703380645
487967,8.38905609893065
487991,1.6080383299064456
487992,2.0024857279177386
494699,2.0
494700,2.648721270700128
494701,3.718281828459045
494702,5.4816890703380645
494703,8.38905609893065
494721,2.0000000001920872
494722,2.6487212710168264
494723,3.7182818289811923
494724,5.4816890711989394
494725,8.389056100349993
510892,2.000000000003099
510893,2.6487212707052374
510894,3.7182818284674686
510895,5.481689070351953
510896,8.389056098953548
511828,2.0
511829,2.648721270700128
511830,3.718281828459045
511831,5.4816890703380645
511832,8.38905609893065
516163,2.0
516164,2.648721270700128
516165,3.718281828459045
516166,5.4816890703380645
516167,8.38905609893065
519589,2.0
519590,2.648721270700128
519591,3.718281828459045
519592,5.4816890703380645
519593,6.4816890703380645
519594,10.037777369630778
519595,15.900775789162518
519596,25.567225993525728
519597,26.567225993525728
519598,43.153229328323086
519599,70.49892582230675
519600,115.58435729404752
519601,189.91766716019953
519602,25.702561276762342
519603,3.4784634102970244
519746,2.0
519747,2.648721270700128
519748,3.718281828459045
519749,5.4816890703380645
519750,8.38905609893065
523897,2.0
523898,2.648721270700128
523899,3.718281828459045
523900,5.4816890703380645
523901,8.38905609893065
525948,2.0
525949,2.648721270700128
525950,3.718281828459045
525951,5.4816890703380645
525952,8.38905609893065
528322,2.0
528323,2.648721270700128
528324,3.718281828459045
528325,5.4816890703380645
528326,8.38905609893065
529539,2.0
529540,2.648721270700128
529541,3.718281828459045
529542,5.4816890703380645
529543,8.38905609893065
530003,2.0
530004,2.648721270700128
530005,3.718281828459045
530006,5.4816890703380645
530007,8.38905609893065
530009,2.135335283236613
530010,2.871851430848558
530011,4.086161269630487
530012,6.088219730050699
530013,9.389056098930652
536767,1.6065306597126334
536768,2.0
542779,2.0
542780,2.648721270700128
542781,3.718281828459045
542782,5.4816890703380645
542783,8.38905609893065
544801,1.6065306597126334
544802,2.0
545095,1.6065306597126334
545096,2.0
548030,1.6065306597126334
548031,2.0
552690,2.3678794411714423
552691,3.255251930412762
552692,4.718281828459045
552693,7.130410341038193
552694,11.107337927389695
552695,1.5032147244080551
553466,2.0024787521766663
553467,2.652808042138592
553468,3.7250197754581302
553469,5.492798066876307
553470,8.407371737819384
553488,1.6065348999509177
553489,2.0000069909710523
555565,2.0111089965382423
555566,2.6670369095888624
555567,3.7484792118813637
555568,5.531476138705928
555569,8.471141097554549
564741,2.0
564742,2.648721270700128
564743,3.718281828459045
564744,5.4816890703380645
564745,8.38905609893065
567461,2.0
567462,2.648721270700128
567463,3.718281828459045
567464,5.4816890703380645
567465,8.38905609893065
567482,2.000000000116507
567483,2.6487212708922154
567484,3.7182818287757433
567485,5.481689070860212
567486,8.389056099791524
567763,2.0
567764,2.648721270700128
567765,3.718281828459045
567766,5.4816890703380645
567767,8.38905609893065
568593,2.0000000000622418
568594,2.6487212708027474
568595,3.718281828628235
568596,5.481689070617012
568597,8.389056099390556
571400,2.0
571401,2.648721270700128
571402,3.718281828459045
